filename,title,author,confidence score (%)
0.jpg,Anne Frank,Anne Frank,100.0%
0.jpg,Anne Frank,Anne Frank,100.0%
0.jpg,The Diary of a Young Girl,Anne Frank,88.6%
1.jpg,The Foreshadowing,Marcus Sedgwick,100.0%
1.jpg,Shadows at the Fair,Lea Wait,62.2%
1.jpg,The Forested Taiga,Philip,61.9%
10.jpg,Chinese Cinderella,Adeline Yen Mah,94.7%
10.jpg,Chinese Cinderella and the Secret Dragon Society,Adeline Yen Mah,94.7%
10.jpg,Cinderella,Charles Perrault,68.1%
11.jpg,The Coffin Quilt,Ann Rinaldi,69.0%
11.jpg,Mutiny's Daughter,Ann Rinaldi,61.0%
11.jpg,Mutiny's Daughter,Ann Rinaldi,61.0%
12.jpg,Betsy and the Emperor,"Staton Rabin,Larry Rostant",100.0%
12.jpg,Jupiter,Betsy Rathburn,68.3%
12.jpg,Earth,Betsy Rathburn,66.7%
13.jpg,Wolf by the Ears,Ann Rinaldi,100.0%
13.jpg,The Pinballs,Betsy Byars,66.7%
13.jpg,The Fifth Of March,Ann Rinaldi,66.7%
14.jpg,Johnny Tremain,Esther Hoskins Forbes,93.3%
14.jpg,Johnny Tremain,Esther Forbes,93.3%
14.jpg,Johnny Tremain,Esther Forbes,93.3%
15.jpg,Soldier's Heart,Gary Paulsen,94.7%
15.jpg,Soldier's Heart,Gary Paulsen,94.7%
15.jpg,"Liar, Liar",Gary Paulsen,82.8%
16.jpg,The True Confessions of Charlotte Doyle,Avi,78.6%
16.jpg,Confessions,Kate Brian,66.7%
16.jpg,Confessions Of An Ugly Stepsister,Gregory Maguire,60.0%
17.jpg,Summer of My German Soldier,Bette Greene,95.5%
17.jpg,Soldier Boy,Brian Burks,65.2%
17.jpg,Soldier Boy,Brian Burks,65.2%
18.jpg,Daniel Half Human,"David Chotjewitz, Doris Orgel",100.0%
18.jpg,Daniel Half Human And The Good Nazi,David Chotjewitz,100.0%
18.jpg,Pale Male,Janet Schulman,57.7%
19.jpg,Sarah Bishop,Scott O'Dell,93.9%
19.jpg,Space,Sarah Powell,66.7%
19.jpg,Space,Sarah Powell,66.7%
2.jpg,The Ever-After Bird,Ann Rinaldi,65.6%
2.jpg,Brooklyn Rose,Ann Rinaldi,65.5%
2.jpg,Broken Days,Ann Rinaldi,64.7%
20.jpg,Civil War,null,78.3%
20.jpg,Evvy's Civil War,Miriam Brenaman,72.0%
20.jpg,Civil War,Mark Millar,60.0%
21.jpg,It Rained Warm Bread,Gloria Moskowitz-Sweet,77.1%
21.jpg,It Rained Warm Bread,"Gloria Moskowitz-Sweet, Hope Anita Smith",68.0%
21.jpg,"Weather, and How It Works",Randi Mehling,59.0%
22.jpg,Dark Sky Rising,"Henry Louis Gates, Jr.,Tonya Bolden",65.8%
22.jpg,The Dark Is Rising,Susan Cooper,65.2%
22.jpg,The Dark Is Rising,Susan Cooper,65.2%
23.jpg,Child of the Dream,Sharon Robinson,87.8%
23.jpg,The Hero Two Doors Down,Sharon Robinson,68.6%
23.jpg,Angela and the Broken Heart,Nancy K. Robinson,68.6%
24.jpg,Home of the Brave,Katherine Applegate,100.0%
24.jpg,Brave the Betrayal,Katherine Applegate,88.4%
24.jpg,Brave the Betrayal,Katherine Applegate,88.4%
25.jpg,With the Might of Angels,Andrea Davis Pinkney,81.8%
25.jpg,The Making of a Writer,Joan,67.9%
25.jpg,"Angels, Prophets, Rabbis & Kings from the Stories of the Jewish People",Još Patterson,66.7%
26.jpg,Farewell to Manzanar,"Jeanne Wakatsuki Houston, James D. Houston",94.1%
26.jpg,Farewell to Manzanar,Jeanne Wakatsuki Houston,94.1%
26.jpg,Farewell to Manzanar,Jeanne Houston,94.1%
27.jpg,1900-20,Sue Mee,52.9%
27.jpg,20th Century Art 1900-10,Jackie Gaff,40.0%
27.jpg,"Wheels West, 1590-1900",Richard Dunlop,40.0%
28.jpg,The CAFE Book,Gail Boushey,58.8%
28.jpg,About a Bear,Holly Surplice,57.7%
28.jpg,Have a Little Faith,Mitch Albom,57.1%
29.jpg,The Maine Lobster Book,Mike Brown,58.5%
29.jpg,Forever Princess,Meg Cabot,55.2%
29.jpg,Forever Princess,Meg Cabot,55.2%
3.jpg,Hang a Thousand Trees with Ribbons,Ann Rinaldi,92.5%
3.jpg,Over a Thousand Hills I Walk with You,Hanna Jansen,59.8%
3.jpg,Soaring with the Wind,Gail Gibbons,59.3%
4.jpg,Girl in Blue,Ann Rinaldi,73.7%
4.jpg,Amelia's War,Ann Rinaldi,73.7%
4.jpg,Numbering All the Bones,Ann Rinaldi,73.7%
5.jpg,Second Bend in the River,Ann Rinaldi,100.0%
5.jpg,The Staircase,Ann Rinaldi,75.0%
5.jpg,The Blue Door,Ann Rinaldi,75.0%
6.jpg,Just Jane,William Lavender,100.0%
6.jpg,William Penn,Janey Levy,66.7%
6.jpg,William Penn,Janey Levy,66.7%
7.jpg,A Break with Charity,Ann Rinaldi,90.9%
7.jpg,Broken Days,Ann Rinaldi,63.2%
7.jpg,The Education of Mary,Ann Rinaldi,62.7%
8.jpg,Finishing Becca,Ann Rinaldi,85.7%
8.jpg,Teacup,Rebecca Young,55.0%
8.jpg,The Vanishing Girl,Shane Peacock,53.8%
9.jpg,Beyond the Burning Time,Kathryn Lasky,100.0%
9.jpg,The Burning Bridge,John Flanagan,75.9%
9.jpg,The Burning,Kathryn Lasky,75.9%
