filename,title,author,confidence score (%)
0.jpg,Anne Frank,Anne Frank,100.0%
0.jpg,Anne Frank,Anne Frank,100.0%
0.jpg,The Diary of a Young Girl,Anne Frank,88.6%
1.jpg,The Foreshadowing,Marcus Sedgwick,100.0%
10.jpg,Chinese Cinderella,Adeline Yen Mah,94.7%
10.jpg,Chinese Cinderella and the Secret Dragon Society,Adeline Yen Mah,94.7%
12.jpg,Betsy and the Emperor,"Staton Rabin,Larry Rostant",100.0%
13.jpg,Wolf by the Ears,Ann Rinaldi,100.0%
14.jpg,Johnny Tremain,Esther Hoskins Forbes,93.3%
14.jpg,Johnny Tremain,Esther Forbes,93.3%
14.jpg,Johnny Tremain,Esther Forbes,93.3%
15.jpg,Soldier's Heart,Gary Paulsen,94.7%
15.jpg,Soldier's Heart,Gary Paulsen,94.7%
15.jpg,"Liar, Liar",Gary Paulsen,82.8%
17.jpg,Summer of My German Soldier,Bette Greene,95.5%
18.jpg,Daniel Half Human,"David Chotjewitz, Doris Orgel",100.0%
18.jpg,Daniel Half Human And The Good Nazi,David Chotjewitz,100.0%
19.jpg,Sarah Bishop,Scott O'Dell,93.9%
23.jpg,Child of the Dream,Sharon Robinson,87.8%
24.jpg,Home of the Brave,Katherine Applegate,100.0%
24.jpg,Brave the Betrayal,Katherine Applegate,88.4%
24.jpg,Brave the Betrayal,Katherine Applegate,88.4%
25.jpg,With the Might of Angels,Andrea Davis Pinkney,81.8%
26.jpg,Farewell to Manzanar,"Jeanne Wakatsuki Houston, James D. Houston",94.1%
26.jpg,Farewell to Manzanar,Jeanne Wakatsuki Houston,94.1%
26.jpg,Farewell to Manzanar,Jeanne Houston,94.1%
3.jpg,Hang a Thousand Trees with Ribbons,Ann Rinaldi,92.5%
5.jpg,Second Bend in the River,Ann Rinaldi,100.0%
6.jpg,Just Jane,William Lavender,100.0%
7.jpg,A Break with Charity,Ann Rinaldi,90.9%
8.jpg,Finishing Becca,Ann Rinaldi,85.7%
9.jpg,Beyond the Burning Time,Kathryn Lasky,100.0%
